IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  WILLIAMMANTOVANELLI, -, 2026-03-24 07:08:25.422000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  PAULOFERRAZ, -, 2026-03-24 07:08:35.075000, LOGIN, 10.117.113.5, 10.117.113.5
  MARCELINOFILHO, -, 2026-03-24 07:10:02.813000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LEONARDOPIO, -, 2026-03-24 07:11:16.367000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MICHELNASCIMENTO, -, 2026-03-24 07:14:10.107000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SEVERINOSILVA, -, 2026-03-24 07:15:24.946000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  PAULOFERRAZ, -, 2026-03-24 07:19:13.547000, LOGIN, 10.117.113.5, 10.117.113.5
  PAULOFERRAZ, -, 2026-03-24 07:20:28.283000, LOGIN, 10.117.113.5, 10.117.113.5
  SERGIOSILVA, -, 2026-03-24 07:21:58.809000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  GEORGESCHUENG, -, 2026-03-24 07:25:43.266000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOROBERTO, -, 2026-03-24 07:26:52.178000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ANDRESAMPAIO, -, 2026-03-24 07:32:21.374000, LOGIN, 10.117.113.8, 10.117.113.8
  BRUNOPEDROSA, -, 2026-03-24 07:33:16.434000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 07:35:58.352000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MAIKELUCAS, -, 2026-03-24 07:46:28.508000, LOGIN, 10.117.113.5, 10.117.113.5
  ELCIODSILVA, -, 2026-03-24 07:47:04.470000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  RAONIBATISTA, -, 2026-03-24 07:51:34.860000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WENDELCARDOSO, -, 2026-03-24 07:57:46.270000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  CARLOSLISBOA, -, 2026-03-24 07:57:56.639000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MICHELNASCIMENTO, -, 2026-03-24 08:00:35.269000, LOGIN, 10.117.110.115, 10.117.110.115
  ALEXANDRESANTANA, -, 2026-03-24 08:05:13.464000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ITEAM, -, 2026-03-24 08:06:30.567000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  GEORGESCHUENG, -, 2026-03-24 08:17:39.321000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  SEVERINOSILVA, -, 2026-03-24 08:18:31.612000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ROBERTOFURTADO, -, 2026-03-24 08:22:56.137000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MICHELNASCIMENTO, -, 2026-03-24 08:25:37.264000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MARCELINOFILHO, -, 2026-03-24 08:27:57.648000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ALANSILVA, -, 2026-03-24 08:36:15.635000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WILLIAMPINHEIRO, -, 2026-03-24 08:38:08.850000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ELIELRODRIGUES, -, 2026-03-24 08:40:38.961000, LOGIN, 10.117.113.8, 10.117.113.8
  LUIZFELIPE, -, 2026-03-24 08:40:42.404000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 08:43:34.476000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  VICTORBRASIL, -, 2026-03-24 08:50:36.162000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOROBERTO, -, 2026-03-24 08:55:19.352000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WILLIAMMANTOVANELLI, -, 2026-03-24 08:58:51.959000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LEONARDOPIO, -, 2026-03-24 09:08:43.833000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ANDRESAMPAIO, -, 2026-03-24 09:13:05.982000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFELIPE, -, 2026-03-24 09:16:40.298000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  EDUARDOJUNIOR, -, 2026-03-24 09:18:18.850000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  GEORGESCHUENG, -, 2026-03-24 09:21:08.016000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  DOWGLASAREAS, -, 2026-03-24 09:22:29.616000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LETICIAVIRIATO, -, 2026-03-24 09:33:37.885000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ANDRESAMPAIO, -, 2026-03-24 09:34:33.944000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFELIPE, -, 2026-03-24 09:35:00.544000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ANDRESAMPAIO, -, 2026-03-24 09:36:23.080000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFELIPE, -, 2026-03-24 09:36:48.516000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  BRUNOPEDROSA, -, 2026-03-24 09:38:30.571000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  RAYLANUNES, -, 2026-03-24 09:40:09.381000, LOGIN, 10.117.113.8, 10.117.113.8
  RAYLANUNES, -, 2026-03-24 09:42:14.516000, LOGIN, 10.117.113.8, 10.117.113.8
