IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  FLAVIOPEREIRA, -, 2026-03-25 08:28:59.811000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SERGIOMATOS, -, 2026-03-25 08:41:53.175000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 08:42:31.750000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ANTONIO.GONCALVES, -, 2026-03-25 08:50:43.686000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CLAUDIONORSANTOS, -, 2026-03-25 08:52:59.839000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 09:00:14.292000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  PEDROVIEIRA, -, 2026-03-25 09:24:05.523000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RAFAELDEALMEIDA, -, 2026-03-25 09:27:41.756000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MAXADMIN, -, 2026-03-25 09:33:24.519000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALEXANDREZEFERINO, -, 2026-03-25 09:37:09.445000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 09:38:50.487000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  PRAMOS, -, 2026-03-25 09:39:52.941000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  DLUZ, -, 2026-03-25 09:40:46.566000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  WILLAMISSILVA, -, 2026-03-25 09:42:07.012000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FELIPERAMOS, -, 2026-03-25 09:42:47.612000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 09:44:37.396000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MATHEUSMALTA, -, 2026-03-25 09:45:11.206000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RODIONSERDYUKOV, -, 2026-03-25 09:50:14.428000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MIGUELBRAZUNA, -, 2026-03-25 09:51:29.824000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JOSEHAMILTON, -, 2026-03-25 09:52:44.364000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALEXSANDROHENRIQUE, -, 2026-03-25 09:54:17.333000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  BRUNOMARINS, -, 2026-03-25 09:56:25.215000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RALPHLIMA, -, 2026-03-25 09:58:14.463000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 10:02:34.669000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LEONARDORIBEIRO, -, 2026-03-25 10:03:16.662000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UELITONJUNIOR, -, 2026-03-25 10:09:43.062000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  OSMAELROZARIO, -, 2026-03-25 10:17:36.839000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MATHEUSMALTA, -, 2026-03-25 10:20:13.462000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  IAGOHENRIQUES, -, 2026-03-25 10:28:30.526000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CARLOSEDUARDO, -, 2026-03-25 10:33:25.827000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CARLOSVALENTIM, -, 2026-03-25 10:34:21.161000, LOGIN, 10.117.183.12, 10.117.183.12
  PEDROVIEIRA, -, 2026-03-25 10:36:52.840000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CARLOSVALENTIM, -, 2026-03-25 10:37:36.988000, LOGIN, 10.117.183.12, 10.117.183.12
  KAIOSILVA, -, 2026-03-25 10:40:31.714000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MANTONIO, -, 2026-03-25 10:41:10.132000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MANTONIO, -, 2026-03-25 10:41:52.187000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RODRIGOMETZ, -, 2026-03-25 10:43:18.330000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALEXSANDROHENRIQUE, -, 2026-03-25 10:43:48.023000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FELIPEPINTO, -, 2026-03-25 10:45:10.622000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CELSOROCHA, -, 2026-03-25 10:47:42.849000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MAXADOOG, -, 2026-03-25 10:51:34.064000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 10:53:11.582000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CASSIOPOLI, -, 2026-03-25 11:01:51.869000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  THIAGOVIANASANTOS, -, 2026-03-25 11:11:14.814000, LOGIN, 10.117.183.11, 10.117.183.11
  ITEAM, -, 2026-03-25 11:12:45.073000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SERGIOMATOS, -, 2026-03-25 11:17:50.678000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 11:18:52.859000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  IAGOHENRIQUES, -, 2026-03-25 11:22:22.966000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ELMOSANTOS, -, 2026-03-25 11:25:03.565000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RODIONSERDYUKOV, -, 2026-03-25 11:33:07.946000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RODRIGOMETZ, -, 2026-03-25 11:40:53.923000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  MIGUELBRAZUNA, -, 2026-03-25 12:07:48.881000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RENATOALBUQUERQUE, -, 2026-03-25 12:10:40.333000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  LUISPIRES, -, 2026-03-25 12:11:38.234000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALBERTOCABRAL_TER, -, 2026-03-25 12:12:39.867000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  PEDROVIEIRA, -, 2026-03-25 12:19:26.199000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JEFERSONNASCIMENTO, -, 2026-03-25 12:21:47.155000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  HUDSONSILVEIRA, -, 2026-03-25 12:37:02.137000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JEFERSONNASCIMENTO, -, 2026-03-25 12:37:22.587000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RAFAELAMANHAES, -, 2026-03-25 12:53:43.411000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  UELITONJUNIOR, -, 2026-03-25 13:02:03.780000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  RALPHLIMA, -, 2026-03-25 13:03:26.681000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  FRANCISCONASCIMENTO, -, 2026-03-25 13:04:14.979000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  CASSIOPOLI, -, 2026-03-25 13:08:31.857000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  PEDROVIEIRA, -, 2026-03-25 13:08:33.367000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  GILCIMARCARLOS, -, 2026-03-25 13:09:28.381000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALEXSANDROHENRIQUE, -, 2026-03-25 13:12:12.686000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  ALBERTOCABRAL_TER, -, 2026-03-25 13:21:55.042000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVESTRELIMA, -, 2026-03-25 13:38:34.027000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  WAGNERWYATT, -, 2026-03-25 13:55:23.534000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  JOURDANSOUZA, -, 2026-03-25 13:55:53.249000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  PEDROVIEIRA, -, 2026-03-25 14:00:50.889000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
  SILVERIOMAIA, -, 2026-03-25 14:02:54.901000, LOGIN, odrl-n08-sv013.foresea.com, 10.120.148.145
