IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  VANESSAPESSANHA, O&G_LIMITED, 0, 0, 0
  ASANTANA, O&G_LIMITED, 0, 0, 0
  LUCASSOUZA, O&G_AUTHORIZED, 0, 0, 0
  CAIOBARBOSA, O&G_AUTHORIZED, 0, 0, 0
  WESLEYGUEDES, O&G_LIMITED, 0, 0, 0
  YAGOCASTRO, O&G_AUTHORIZED, 0, 0, 0
  MURILOBRAZ, O&G_LIMITED, 0, 0, 0
  CHARLESPEREIRA, O&G_LIMITED, 0, 0, 0
  LAIONSOUZA, O&G_AUTHORIZED, 0, 0, 0
  RENATAANDRADE, O&G_AUTHORIZED, 0, 0, 0
  RODRIGOACARDOSO, O&G_LIMITED, 0, 0, 0
  OSMAELROZARIO, O&G_LIMITED, 0, 0, 0
  EUDESRIBEIRO, O&G_LIMITED, 0, 0, 0
  FABIOSOUZA, O&G_LIMITED, 0, 0, 0
  JONATASPEDROSA, O&G_LIMITED, 0, 0, 0
  FABIORITA, O&G_LIMITED, 0, 0, 0
  DAVIDJUNGES, O&G_AUTHORIZED, 0, 0, 0
  VICTORSIQUEIRA, O&G_LIMITED, 0, 0, 0
  CLEOMARCERCON, O&G_LIMITED, 0, 0, 0
  EDSONRAFAEL, O&G_LIMITED, 0, 0, 0
  THIAGOFROES, -, 0, 1, 0
  VALIDA_BASE, O&G_LIMITED, 0, 0, 0
  JOSERFERREIRA, O&G_LIMITED, 0, 0, 0
  JULIAMELO, O&G_LIMITED, 0, 0, 0
  MAURICIOSILVA, O&G_LIMITED, 0, 0, 0
  MATEUSSANTOS, O&G_LIMITED, 0, 0, 0
  LINCOLNSOUZA, O&G_AUTHORIZED, 0, 0, 0
  JOSESANTOS, O&G_LIMITED, 0, 0, 0
  VICTORCOSTA, O&G_LIMITED, 0, 0, 0
  NATALIALOPES, O&G_LIMITED, 0, 0, 0
  MAURICIOCORREIA, O&G_LIMITED, 0, 0, 0
  LEANDROVENANCIO, O&G_LIMITED, 0, 0, 0
  CHRISTIANALCANTARA, O&G_LIMITED, 0, 0, 0
  HENRIQUEROQUE, O&G_AUTHORIZED, 0, 0, 0
  VICTORIASILVA, O&G_LIMITED, 0, 0, 0
  JEANFREITAS, -, 0, 1, 0
  EMERSONBASTOS, -, 0, 1, 0
  VICTORCOSTA, -, 0, 1, 0
  GABRIELCEH, -, 0, 1, 0
  MUNIRAVALENTIM, -, 0, 1, 0
  ANABARCELOS, -, 0, 1, 0
  RONALDSILVA, -, 0, 1, 0
  JONATASPEDROSA, -, 0, 1, 0
  HUGOMALUF, O&G_AUTHORIZED, 0, 0, 0
  RENATAMANFREDINI, O&G_LIMITED, 0, 0, 0
  VEDRANMOHOROVIC, O&G_LIMITED, 0, 0, 0
  GUSTAVOBATISTA, O&G_LIMITED, 0, 0, 0
