IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  YASMINBARBOSA, -, 0, 1, 0
  VANESSAPESSANHA, O&G_LIMITED, 0, 0, 0
  RAPHAELARAUJO, O&G_LIMITED, 0, 0, 0
  ANTONIO SERGIO GONÇALVES FILHO, O&G_LIMITED, 0, 0, 0
  CHRISTIANALCANTARA, O&G_LIMITED, 0, 0, 0
  GEORGEMEDEIROS, O&G_LIMITED, 0, 0, 0
  THIAGOSILVEIRA, O&G_LIMITED, 0, 0, 0
  LUISACALDERON, O&G_LIMITED, 0, 0, 0
  MARIONICOLI, -, 0, 1, 0
  ALESSANDROSANTOS, -, 0, 1, 0
  BRUNOVIANA, -, 0, 1, 0
  CLAUDIOFARIAS, -, 0, 1, 0
  LEANDROJACOMINI, -, 0, 1, 0
  ERIVANLIMA, -, 0, 1, 0
  IARLENKLEIN, -, 0, 1, 0
  WANDERLANSANTO, -, 0, 1, 0
  MARCELOAZEVEDO, -, 0, 1, 0
  BBEAU, -, 0, 1, 0
  MIKEFARIAS, -, 0, 1, 0
  BRENNOGUIMARAES, -, 0, 1, 0
  ALESSANDROTINOCO, -, 0, 1, 0
  ELTONNEVES, -, 0, 1, 0
  CAIOBARBOSA, -, 0, 1, 0
  NATALIALOPES, -, 0, 1, 0
  RAFAELHORTA, -, 0, 1, 1
  LINOBATISTA, -, 0, 1, 0
  DIEGOESMITE, -, 0, 1, 0
  ADILSONBEZERRA, -, 0, 1, 0
  JUCOELHO, -, 0, 1, 0
  RODRIGOFONSECA, -, 0, 1, 0
  SIMONEMELO, -, 0, 1, 0
  ALEXANDRERIBEIRO, -, 0, 1, 0
  CHARLESPEREIRA, -, 0, 1, 0
  CARLOSMARIANO, -, 0, 1, 0
  JOSERFERREIRA, -, 0, 1, 0
  NICOLESILVEIRA, -, 0, 1, 0
  FAMARAL, -, 0, 1, 0
  NICOLEGOMES, -, 0, 1, 0
  HENRIQUEROQUE, -, 0, 1, 1
  KAIANLIMA, -, 0, 1, 0
  ERICAMLISBOA, -, 0, 1, 0
  MEQUESILVA, -, 0, 1, 0
  NACIBHADDAD, -, 0, 1, 0
  PAULOCAPUTO, -, 0, 1, 0
  EDWINVILLAGARAY, -, 0, 1, 0
  AROALDOCAMPOS, -, 0, 1, 0
  KELLENLOBO, -, 0, 1, 0
  JOSERAIMUNDO, O&G_LIMITED, 0, 0, 0
  MARCELLAARAUJO, O&G_LIMITED, 0, 0, 0
  VANESSASANTOS, O&G_LIMITED, 0, 0, 0
  RAPHAELCOUTO, O&G_LIMITED, 0, 0, 0
  RUYSANTOS, -, 0, 1, 0
  NICHOLASALMEIDA, O&G_LIMITED, 0, 0, 0
  ALEXANDRECURY, -, 0, 1, 1
  ROBERTAROMAES, -, 0, 1, 0
  ANDRESILVA, -, 0, 1, 0
  LUCASIGNACIO, -, 0, 1, 0
  SERGEVROLIJK, O&G_LIMITED, 0, 0, 0
  ALESSANDROPASINI, -, 0, 1, 0
  ROBERTAANDRADE, -, 0, 1, 0
  JEFFERSONSOUZA, O&G_LIMITED, 0, 0, 0
  CLARISSERODRIGUES, -, 0, 1, 1
  EDILSONVIANA, -, 0, 1, 1
  JOSESILVA, -, 0, 1, 0
  NICHOLASGOUVEIA, -, 0, 1, 0
  MARCOSMAUMESSO, -, 0, 1, 0
  LEANDROREIS, O&G_LIMITED, 0, 0, 0
  TIAGOFREITAS, O&G_LIMITED, 0, 0, 0
  ESDRASSELLOS, -, 0, 1, 0
  RAPHAELBARBOSA, -, 0, 1, 0
  LEONARDOGASPAR, -, 0, 1, 0
  YASMINBARBOSA, -, 0, 1, 0
  EMMANUELJUNIOR, -, 0, 1, 0
  MAZENELNAWASRA, -, 0, 1, 0
  LENIELJUNIOR, -, 0, 1, 0
  ITEAM2, -, 0, 1, 0
  VANESSASANTOS, O&G_LIMITED, 0, 0, 0
  RODRIGOSCALA, O&G_LIMITED, 0, 0, 0
  HELENAALMEIDA, -, 0, 1, 0
  ERNESTOJUNIOR, -, 0, 1, 0
  DARIUSZWROBLEWSKI, -, 0, 1, 0
  EDERREZENDE, -, 0, 1, 0
  WLADMIRSILVA, -, 0, 1, 0
  RAFAELMAIA, -, 0, 1, 0
  CLEVERSONALMEIDA, -, 0, 1, 0
  BRUNOJOVINO, -, 0, 1, 0
  VICTORBORBA, O&G_LIMITED, 0, 0, 0
  LUISCOSTA, O&G_LIMITED, 0, 0, 0
  LUCASPORTES, O&G_AUTHORIZED, 0, 0, 0
  GUSTAVOCANARIO, O&G_AUTHORIZED, 0, 0, 0
  USERTESTE, O&G_AUTHORIZED, 0, 0, 0
  GUSTAVOCANARIO, -, 0, 1, 1
  VICTORIASILVA, O&G_LIMITED, 0, 0, 0
  BASEREADONLY, -, 0, 1, 0
  DIEGOESTEFANI, -, 0, 1, 0
  FABIANASANTOS, -, 0, 1, 0
  BRUNOSTOGMULLER, -, 0, 1, 0
  ALEXANDERRIBEIRO, -, 0, 1, 0
  SINVALJUNIOR, -, 0, 1, 0
  SULAMITAMUNIZ, -, 0, 1, 0
  KAIANLIMA, -, 0, 1, 0
  VICTORBORBA, -, 0, 1, 0
